,title,term,tfidf
15378310,Art United: Body Positivity Zine Workshop,members,0.1649573918134594
15372409,Art United: Body Positivity Zine Workshop,collaborative,0.1447612355333149
15378706,Art United: Body Positivity Zine Workshop,nc state,0.13617802201328924
15378701,Art United: Body Positivity Zine Workshop,nc,0.13583387347830486
15385059,Art United: Body Positivity Zine Workshop,workshop participants,0.1334342804661036
15382661,Art United: Body Positivity Zine Workshop,state,0.13286369415353386
14876770,Basics of SimplyAnalytics,simplyanalytics,0.2570820317707753
14875640,Basics of SimplyAnalytics,reports,0.23325188328150812
14872390,Basics of SimplyAnalytics,locations,0.17138802118051688
14867885,Basics of SimplyAnalytics,data,0.12836212550779635
14872697,Basics of SimplyAnalytics,maps,0.12233822253912328
14875272,Basics of SimplyAnalytics,questions,0.09854779637391217
14878840,Basics of SimplyAnalytics,using,0.0924898032783011
14865239,Basics of SimplyAnalytics,advanced tips,0.08569401059025844
14865406,Basics of SimplyAnalytics,amp tricks,0.08569401059025844
14865416,Basics of SimplyAnalytics,analysis applying,0.08569401059025844
2201147,Beat Saber Tournament @ DH Hill Library Virtual Reality Studio,beat saber,0.33438613222769203
2211175,Beat Saber Tournament @ DH Hill Library Virtual Reality Studio,saber,0.33438613222769203
4416032,Beat Saber Tournament @ DH Hill Library Virtual Reality Studio,beat saber,0.33438613222769203
4426060,Beat Saber Tournament @ DH Hill Library Virtual Reality Studio,saber,0.33438613222769203
2201146,Beat Saber Tournament @ DH Hill Library Virtual Reality Studio,beat,0.31023365288600696
4416031,Beat Saber Tournament @ DH Hill Library Virtual Reality Studio,beat,0.31023365288600696
2213359,Beat Saber Tournament @ DH Hill Library Virtual Reality Studio,tournament,0.22292408815179468
4428244,Beat Saber Tournament @ DH Hill Library Virtual Reality Studio,tournament,0.22292408815179468
2209445,Beat Saber Tournament @ DH Hill Library Virtual Reality Studio,popular,0.18829490567792936
4424330,Beat Saber Tournament @ DH Hill Library Virtual Reality Studio,popular,0.18829490567792936
2259906,Beginning R,analysis graphics,0.17195438782114367
2260091,Beginning R,applications useful,0.17195438782114367
2261352,Beginning R,cleaning visualization,0.17195438782114367
2261787,Beginning R,computing environment,0.17195438782114367
2262246,Beginning R,creating web,0.17195438782114367
2263611,Beginning R,environment statistical,0.17195438782114367
2264425,Beginning R,free used,0.17195438782114367
2264815,Beginning R,graphics free,0.17195438782114367
2265451,Beginning R,including statistics,0.17195438782114367
2266315,Beginning R,language computing,0.17195438782114367
1752007,Beginning Tableau,tableau,0.3309563848074795
2807422,Beginning Tableau,tableau,0.3309563848074795
5096632,Beginning Tableau,tableau,0.3309563848074795
5988532,Beginning Tableau,tableau,0.3309563848074795
8218282,Beginning Tableau,tableau,0.3309563848074795
9585862,Beginning Tableau,tableau,0.3309563848074795
13881847,Beginning Tableau,tableau,0.3309563848074795
14223742,Beginning Tableau,tableau,0.3309563848074795
18237292,Beginning Tableau,tableau,0.3309563848074795
1742087,Beginning Tableau,dashboards,0.2614630466793343
17713070,Beyond Microsoft Word: Formatting Documents with Overleaf and R Studio,overleaf,0.3567190316848968
17718672,Beyond Microsoft Word: Formatting Documents with Overleaf and R Studio,word,0.18997890027051204
17713074,Beyond Microsoft Word: Formatting Documents with Overleaf and R Studio,overleaf rstudio,0.1783595158424484
17715340,Beyond Microsoft Word: Formatting Documents with Overleaf and R Studio,rstudio,0.13562236585236517
17704458,Beyond Microsoft Word: Formatting Documents with Overleaf and R Studio,advantages,0.11890634389496561
17711518,Beyond Microsoft Word: Formatting Documents with Overleaf and R Studio,linking,0.11890634389496561
17711519,Beyond Microsoft Word: Formatting Documents with Overleaf and R Studio,linking overleaf,0.11890634389496561
17715342,Beyond Microsoft Word: Formatting Documents with Overleaf and R Studio,rstudio attendees,0.11890634389496561
17718674,Beyond Microsoft Word: Formatting Documents with Overleaf and R Studio,word processing,0.11890634389496561
17711101,Beyond Microsoft Word: Formatting Documents with Overleaf and R Studio,latex,0.10433606437729498
10659488,Board Game Rapid Prototyping,board,0.1793079660317626
10659489,Board Game Rapid Prototyping,board game,0.1793079660317626
10666823,Board Game Rapid Prototyping,omari,0.1793079660317626
10663281,Board Game Rapid Prototyping,game,0.164301288419021
10658513,Board Game Rapid Prototyping,akil,0.0896539830158813
10658514,Board Game Rapid Prototyping,akil creator,0.0896539830158813
10658852,Board Game Rapid Prototyping,approaches developing,0.0896539830158813
10659490,Board Game Rapid Prototyping,boards,0.0896539830158813
10659491,Board Game Rapid Prototyping,boards dice,0.0896539830158813
10659794,Board Game Rapid Prototyping,cards create,0.0896539830158813
8151626,Bringing Historical Maps into GIS,historical,0.34566812348257175
15435476,Bringing Historical Maps into GIS,historical,0.34566812348257175
1611026,Bringing Historical Maps into GIS,historical,0.34348790477584656
8153688,Bringing Historical Maps into GIS,map,0.2989547574699277
15437538,Bringing Historical Maps into GIS,map,0.2989547574699277
1613088,Bringing Historical Maps into GIS,map,0.29706917210517453
8151628,Bringing Historical Maps into GIS,historical map,0.29465879618414675
15435478,Bringing Historical Maps into GIS,historical map,0.29465879618414675
1611028,Bringing Historical Maps into GIS,historical map,0.2928003065639021
8151192,Bringing Historical Maps into GIS,georeferenced historical,0.19643919745609786
2342927,Build and Upgrade Your Own PC,pc,0.41755404594175305
11633552,Build and Upgrade Your Own PC,pc,0.41755404594175305
2335228,Build and Upgrade Your Own PC,build,0.2551347403228372
11625853,Build and Upgrade Your Own PC,build,0.2551347403228372
2344497,Build and Upgrade Your Own PC,required build,0.2176296390020411
11635122,Build and Upgrade Your Own PC,required build,0.2176296390020411
2336067,Build and Upgrade Your Own PC,components,0.15774966374351923
11626692,Build and Upgrade Your Own PC,components,0.15774966374351923
2334684,Build and Upgrade Your Own PC,attendees hands,0.10881481950102055
2334894,Build and Upgrade Your Own PC,basics building,0.10881481950102055
12557330,"Build, Share, &amp; Amplify Your Scholarly Profile Online",scholarly,0.22717952612616474
12553420,"Build, Share, &amp; Amplify Your Scholarly Profile Online",ll learn,0.22375544390612614
12553413,"Build, Share, &amp; Amplify Your Scholarly Profile Online",ll,0.163135664537707
12548071,"Build, Share, &amp; Amplify Your Scholarly Profile Online",collaborators share,0.14713248951007293
12554484,"Build, Share, &amp; Amplify Your Scholarly Profile Online",new,0.14151721147168503
12546982,"Build, Share, &amp; Amplify Your Scholarly Profile Online",audiences ll,0.1391545335487241
12547363,"Build, Share, &amp; Amplify Your Scholarly Profile Online",boost,0.1391545335487241
12547364,"Build, Share, &amp; Amplify Your Scholarly Profile Online",boost scholarly,0.1391545335487241
12548080,"Build, Share, &amp; Amplify Your Scholarly Profile Online",colleagues collaborators,0.1391545335487241
12548230,"Build, Share, &amp; Amplify Your Scholarly Profile Online",communication online,0.1391545335487241
17933106,Campus Conversations Project: Inauguration Day: Transitions of Power,inauguration,0.2990810637878693
18052026,Campus Conversations Project: Inauguration Day: Transitions of Power,inauguration,0.2990810637878693
17933108,Campus Conversations Project: Inauguration Day: Transitions of Power,inauguration means,0.19938737585857952
17934110,Campus Conversations Project: Inauguration Day: Transitions of Power,leaders,0.19938737585857952
18052028,Campus Conversations Project: Inauguration Day: Transitions of Power,inauguration means,0.19938737585857952
18053030,Campus Conversations Project: Inauguration Day: Transitions of Power,leaders,0.19938737585857952
17935021,Campus Conversations Project: Inauguration Day: Transitions of Power,means,0.1798456054715464
18053941,Campus Conversations Project: Inauguration Day: Transitions of Power,means,0.1798456054715464
17927471,Campus Conversations Project: Inauguration Day: Transitions of Power,agree,0.09969368792928976
17927472,Campus Conversations Project: Inauguration Day: Transitions of Power,agree faith,0.09969368792928976
19079234,Campus Conversations Project: Righteousness and Relationship,losing,0.37899341179042173
19081213,Campus Conversations Project: Righteousness and Relationship,political spectrum,0.18949670589521087
19083943,Campus Conversations Project: Righteousness and Relationship,spectrum,0.16627658254325617
19081210,Campus Conversations Project: Righteousness and Relationship,political,0.14871123731626543
19086094,Campus Conversations Project: Righteousness and Relationship,way,0.11555620431102026
19071804,Campus Conversations Project: Righteousness and Relationship,ability solve,0.09474835294760543
19072052,Campus Conversations Project: Righteousness and Relationship,affected,0.09474835294760543
19072053,Campus Conversations Project: Righteousness and Relationship,affected change,0.09474835294760543
19073325,Campus Conversations Project: Righteousness and Relationship,calling,0.09474835294760543
19073326,Campus Conversations Project: Righteousness and Relationship,calling political,0.09474835294760543
18883648,Campus Conversations Project: The Opportunity Gap,gap,0.2527887822778357
18887278,Campus Conversations Project: The Opportunity Gap,opportunity,0.18450370367984217
18882115,Campus Conversations Project: The Opportunity Gap,distribution,0.16852585485189048
18883649,Campus Conversations Project: The Opportunity Gap,gap refers,0.16852585485189048
18884597,Campus Conversations Project: The Opportunity Gap,inequitable,0.16852585485189048
18884598,Campus Conversations Project: The Opportunity Gap,inequitable distribution,0.16852585485189048
18887287,Campus Conversations Project: The Opportunity Gap,opportunity gap,0.16852585485189048
18887929,Campus Conversations Project: The Opportunity Gap,playing field,0.16852585485189048
18889048,Campus Conversations Project: The Opportunity Gap,refers,0.16852585485189048
18892134,Campus Conversations Project: The Opportunity Gap,unequal,0.16852585485189048
17054385,Campus Conversations Project: To Vote or Not to Vote,event,0.19277075474022093
17051014,Campus Conversations Project: To Vote or Not to Vote,attendance limited,0.12675821671433246
17051517,Campus Conversations Project: To Vote or Not to Vote,bridge,0.12675821671433246
17051518,Campus Conversations Project: To Vote or Not to Vote,bridge divide,0.12675821671433246
17051704,Campus Conversations Project: To Vote or Not to Vote,campus conversations,0.12675821671433246
17052678,Campus Conversations Project: To Vote or Not to Vote,conversation designed,0.12675821671433246
17052682,Campus Conversations Project: To Vote or Not to Vote,conversations project,0.12675821671433246
17053380,Campus Conversations Project: To Vote or Not to Vote,designed foster,0.12675821671433246
17053658,Campus Conversations Project: To Vote or Not to Vote,discuss timely,0.12675821671433246
17053738,Campus Conversations Project: To Vote or Not to Vote,divide voters,0.12675821671433246
4465106,Cancelled: Bringing Historical Maps into GIS,historical,0.34348790477584656
4467168,Cancelled: Bringing Historical Maps into GIS,map,0.29706917210517453
4465108,Cancelled: Bringing Historical Maps into GIS,historical map,0.2928003065639021
4464672,Cancelled: Bringing Historical Maps into GIS,georeferenced historical,0.19520020437593474
4464670,Cancelled: Bringing Historical Maps into GIS,georeferenced,0.18121780771497323
4464661,Cancelled: Bringing Historical Maps into GIS,geographic,0.17457938738656423
4467184,Cancelled: Bringing Historical Maps into GIS,mapbox arcgis,0.10519851851034938
4468150,Cancelled: Bringing Historical Maps into GIS,online overlay,0.10519851851034938
4459635,Cancelled: Bringing Historical Maps into GIS,accurate,0.09760010218796737
4459636,Cancelled: Bringing Historical Maps into GIS,accurate representation,0.09760010218796737
8602475,Citation Management with RefWorks,refworks,0.5196353945267717
9643025,Citation Management with RefWorks,refworks,0.5196353945267717
17402555,Citation Management with RefWorks,refworks,0.5196353945267717
2121335,Citation Management with RefWorks,refworks,0.5190216620720628
17997155,Citation Management with RefWorks,refworks,0.4622620671269212
18086345,Citation Management with RefWorks,refworks,0.4622620671269212
17988455,Citation Management with RefWorks,citation,0.27735724027615266
18077645,Citation Management with RefWorks,citation,0.27735724027615266
8593775,Citation Management with RefWorks,citation,0.20785415781070865
8593780,Citation Management with RefWorks,citations,0.20785415781070865
3031937,Coding 3D Landscapes of Sound,web,0.19148579684338943
3018107,Coding 3D Landscapes of Sound,animated sound,0.15883929702410599
3018675,Coding 3D Landscapes of Sound,basic template,0.15883929702410599
3019013,Coding 3D Landscapes of Sound,browser html,0.15883929702410599
3019062,Coding 3D Landscapes of Sound,building virtual,0.15883929702410599
3020299,Coding 3D Landscapes of Sound,create landscapes,0.15883929702410599
3020341,Coding 3D Landscapes of Sound,creating generative,0.15883929702410599
3020460,Coding 3D Landscapes of Sound,customized animated,0.15883929702410599
3021978,Coding 3D Landscapes of Sound,experiences create,0.15883929702410599
3022192,Coding 3D Landscapes of Sound,features customized,0.15883929702410599
16418948,Communicating your research using impact metrics,metrics,0.29425029423132276
18128423,Communicating your research using impact metrics,metrics,0.29425029423132276
18960863,Communicating your research using impact metrics,metrics,0.29425029423132276
16416808,Communicating your research using impact metrics,impact,0.2649887515280665
18126283,Communicating your research using impact metrics,impact,0.2649887515280665
18958723,Communicating your research using impact metrics,impact,0.2649887515280665
16413101,Communicating your research using impact metrics,common tools,0.1603514670754652
16417356,Communicating your research using impact metrics,interpret metrics,0.1603514670754652
16417431,Communicating your research using impact metrics,introduction traditional,0.1603514670754652
16418801,Communicating your research using impact metrics,measurements,0.1603514670754652
16306804,Crafting Your Professional Digital Portfolio,writing,0.3413013183059656
16298655,Crafting Your Professional Digital Portfolio,jobs,0.18493376300145634
16306827,Crafting Your Professional Digital Portfolio,writing writing,0.17490611090432295
16303825,Crafting Your Professional Digital Portfolio,site,0.16779137851566267
16304959,Crafting Your Professional Digital Portfolio,teaching,0.14773607432139582
16294760,Crafting Your Professional Digital Portfolio,create site,0.12328917533430424
16293225,Crafting Your Professional Digital Portfolio,bethany,0.11660407393621529
16298083,Crafting Your Professional Digital Portfolio,industry,0.11660407393621529
16304967,Crafting Your Professional Digital Portfolio,teaching writing,0.11660407393621529
